DepthAvereagedEveryMeter_mbsf_,BulkDensity,MagneticSusceptibility,NaturalGammaRay,K___,Th_ppm_,U_ppm_,Resistivity,Vp,Vs,Caliper_in_,ROP_m_hr_,Perc100Lithology,PrincLithology,PrincLithology_1m,FullLithology,Predicted,Cluster
111.5,2.528814825,3132.7858974359,6.58913685714286,0.0166240058571429,0.181298442857143,0.698688128571429,10.84872,4.01853333333333,1.69572857142857,10.7179228571429,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
112.5,2.54503661538462,3445.54333333333,6.0880175,0.0150607171666667,0.2014703,0.68342885,15.1612128571429,4.1046,1.86403333333333,10.6456983333333,5.3,serpentinite,harzburgite,,,serpentinite,0
113.5,2.55921746153846,1569.99975,8.654833,0.04752399,0.09747638,0.8820706,19.9818433333333,4.1291,1.9731,10.6455742857143,,serpentinite,dunite,,,serpentinite,1
114.5,2.646030025,1315.49051282051,8.04256385714286,0.0443462457142857,,0.797587642857143,15.1826714285714,4.4343,1.79885714285714,10.6718566666667,,,,,,serpentinite,1
127.5,2.619546075,980.264871794872,4.51440014285714,,0.0321935775714286,0.761613885714286,15.7526133333333,4.15061666666667,1.73514285714286,10.72259,,serpentinite,harzburgite,,,serpentinite,1
128.5,2.49168892307692,2125.74461538462,4.16493583333333,,0.039225365,0.533636883333333,14.3720485714286,3.79441428571429,1.76318333333333,10.745775,,,,,,serpentinite,0
129.5,2.51657423076923,3864.56475,5.10038057142857,0.0421125271428571,0.0403476,0.403440271428571,15.315385,3.85598333333333,1.68324285714286,10.7787971428571,,,,,,serpentinite,0
130.5,2.49826015,2899.94820512821,6.29704614285714,0.0178794789428571,0.0008155874285714,0.622501828571429,12.7301328571429,3.83248571428571,1.70768571428571,10.8035033333333,,,dunite,,,serpentinite,0
131.5,2.55024646153846,784.629230769231,6.94607533333333,0.02774722,,0.761735533333333,14.9561716666667,4.02192857142857,1.77813333333333,10.8370371428571,5.9,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,1
132.5,2.50017215384615,3758.24075,5.960899,0.0170757985714286,,0.7007495,15.7165185714286,4.3824,1.82547142857143,10.7436983333333,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
133.5,2.514278175,1907.10025641026,7.29206366666667,0.0376900466666667,,0.78662615,15.2507994285714,3.96774285714286,2.07688333333333,10.71818,,,,,,serpentinite,0
141.5,2.405643825,372.801025641026,12.5225657142857,,0.0179497242857143,1.60194485714286,7.83297957142857,,2.21291428571429,11.80393,,,,,,serpentinite,1
142.5,2.24156694871795,1382.69923076923,11.4418816666667,0.0122452858333333,,1.34790566666667,20.5628552857143,4.66801428571429,2.64728333333333,10.7246,,,,,,serpentinite,0
143.5,,,,,,,,,,,,,,,,serpentinite,0
144.5,,,,,,,,,,,,,gabbronorite,,,serpentinite,0
145.5,2.42370474358974,678.29725,47.0034528571429,0.0230349312857143,,5.97637714285714,8.14923716666667,4.16498333333333,1.70205714285714,11.4202371428571,,,gabbronorite,,,serpentinite,0
146.5,2.49934985,1396.34307692308,29.8217628571429,0.0479504342857143,,3.64242428571429,8.87065485714286,,1.74114285714286,11.5535983333333,,,,,,serpentinite,0
147.5,2.57148448717949,822.724871794872,16.290325,0.0088875971833333,,2.08168933333333,12.9404273333333,,1.83953333333333,11.09598,,,,,,serpentinite,1
148.5,2.59107005128205,1168.871,9.85450942857143,,0.0391031328571429,1.31218385714286,22.3677614285714,4.24803333333333,1.79247142857143,11.42449,,,,,,serpentinite,1
149.5,2.615004725,772.598205128205,11.6307263333333,0.0421853633333333,0.079709425,1.2601466,18.39556,4.2787,1.78403333333333,11.0340571428571,,,dunite,,,serpentinite,1
152.5,2.53288705,1384.04743589744,7.56016857142857,,0.0807848614285714,0.924897214285714,13.7447516666667,4.19181666666667,1.6621,10.76998,,,,,,serpentinite,0
153.5,2.57296253846154,1591.258,10.5192114285714,,0.0737380728571429,1.26364071428571,16.9723014285714,4.2525,1.92938333333333,10.633865,,,,,,serpentinite,1
154.5,2.5369885,1617.38794871795,10.2482091666667,0.0102980806666667,,1.2582225,11.9155566666667,4.1747,1.70235714285714,10.5751357142857,,,harzburgite,,,serpentinite,0
155.5,2.56602307692308,1444.80974358974,11.9685114285714,0.0235091242857143,0.0464416818571429,1.410628,18.1301014285714,4.27117142857143,1.70657142857143,10.6117566666667,6.4,,harzburgite,,,serpentinite,1
156.5,2.49538961538462,1174.63175,10.6928701666667,0.0177748025,0.164130195,1.16022283333333,9.920333,3.69928571428571,1.83268333333333,10.74628,,,gabbronorite,,,serpentinite,0
157.5,2.501411925,1229.30102564103,9.75470271428572,0.0299417542857143,0.171143814285714,1.00062977142857,14.8097571428571,3.7627,1.69282857142857,11.1101057142857,,,,,,serpentinite,0
158.5,2.47741669230769,972.439743589744,10.1754743333333,0.0264521422333333,0.064834585,1.06036751666667,16.2013914285714,3.90311428571429,1.83078333333333,11.33374,,,,,,serpentinite,0
159.5,,,,,,,,,,,,,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
160.5,,,,,,,,,,,,,dunite,,,serpentinite,0
161.5,,,,,,,,,,,,,harzburgite,,,serpentinite,0
162.5,2.48990333333333,1359.58794871795,7.26040442857143,0.0228084751428571,0.155914858571429,0.7692274,15.3823628571429,4.20842857142857,1.79368571428571,11.3006833333333,,,,,,serpentinite,0
163.5,2.56245215,2275.10025641026,2.88305866666667,,0.0080940266666666,0.394216566666667,17.7719333333333,4.12606666666667,2.09236666666667,11.0438342857143,,,,,,serpentinite,1
164.5,2.55759792307692,2369.706,1.903217,,0.0200681057142857,0.260246685714286,13.2896671428571,4.01642857142857,1.78945714285714,10.620975,,serpentinite,dunite,,,serpentinite,0
165.5,2.52509745,2074.25512820513,2.9656195,,0.0091500981666666,0.379591983333333,11.9236771428571,3.74384285714286,1.7713,10.589,5.2,serpentinite,dunite,,,serpentinite,0
166.5,2.49773902564103,1297.35487179487,12.0508587142857,0.0284617742857143,0.0343262034285714,1.31318514285714,13.51772,3.95145,1.71318571428571,10.5974885714286,,serpentinite,harzburgite,,,serpentinite,0
172.5,,308.85875,2.3829315,0.0631342266666667,0.0185930883333333,0.159891178333333,8.01627866666667,,2.19168333333333,11.3421728571429,,,,,,serpentinite,1
173.5,,,,,,,,,,,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
174.5,2.55097161538462,1243.91461538462,5.48699,,,0.71344575,19.0061772857143,4.4655,1.9238,11.4358183333333,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,1
175.5,2.53303605128205,2776.218,6.167239,,,0.780941528571429,14.6612866666667,4.12778333333333,1.67137142857143,11.31148,3.4,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
176.5,2.51520265,3421.77743589744,8.01711966666667,0.038417415,,0.877476616666667,14.88445,4.06031428571429,1.81306666666667,10.4357866666667,,serpentinite,harzburgite,,,serpentinite,0
177.5,2.52540861538462,2542.35102564103,6.74077157142857,0.0316419285714286,0.0195658428571429,0.665042114285714,20.68031,4.49918333333333,2.0971,10.7560685714286,,,,,,serpentinite,1
178.5,2.55818684615385,2061.3065,1.79377685714286,,0.0439062082857143,0.205816014285714,18.7621814285714,4.70444285714286,1.75295714285714,10.74501,,,harzburgite,harzburgite,harzburgite,serpentinite,1
179.5,2.62730785,830.472051282051,4.71503166666667,,,0.602846583333333,7.588973,4.36523333333333,1.70871666666667,11.22882,8.4,,harzburgite,,,serpentinite,1
180.5,2.49264071794872,314.89625,6.77763371428571,0.04928611,0.0739536442857143,0.565431042857143,6.93675885714286,4.49705714285714,1.69514285714286,11.32859,,,,,,serpentinite,1
181.5,2.47871775,312.904102564102,2.827273,0.0402831933333333,,0.2427336,9.29979516666667,4.05747142857143,1.7541,11.1635085714286,,,,,,serpentinite,0
196.5,2.78819825641026,340.447435897436,1.01182375714286,,,0.174535128571429,6.00365742857143,3.75691428571429,1.93575714285714,11.0799933333333,,,,,,serpentinite,1
197.5,2.53975446153846,847.699,0.55878185,,0.0098101483333333,0.112022445,3.14212216666667,4.36175714285714,1.98376666666667,10.97371,,,,,,serpentinite,0
198.5,2.574021025,1546.45487179487,0.929397142857143,0.03099686,0.0496626928571429,0.05210854,9.10416414285714,4.5556,2.17724285714286,11.0007257142857,,,harzburgite,harzburgite,harzburgite,serpentinite,1
199.5,2.59101630769231,1859.54675,,,,0.433751688333333,4.4459873,4.41241428571429,2.07095,11.1169183333333,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
200.5,2.5743678,2967.29512820513,,,,0.237210442857143,4.3578305,4.40993333333333,2.08112857142857,11.24954,5.3,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
201.5,2.55222684615385,2957.9641025641,0.29542301,,,0.168678173,18.1480088571429,4.4081,2.20321666666667,11.2732683333333,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,1
202.5,2.60681533333333,1151.99025,0.268963224285714,0.0326767524285714,0.09155889,,12.0950028333333,4.5925,2.23338571428571,11.2800257142857,,,,,,serpentinite,1
203.5,2.5847544,3947.75,,0.0097002114285714,0.0233703285714286,,9.83474871428571,4.59162857142857,2.19015714285714,11.3801566666667,,,harzburgite,,,serpentinite,0
204.5,2.57296058974359,4732.93871794872,0.0611671473333333,,,0.0225631333333333,8.10697183333333,4.12484285714286,2.35833333333333,11.4269228571429,7.2,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
205.5,2.52991917948718,4591.01175,,,,0.180261857142857,8.88191914285714,4.53773333333333,2.16262857142857,11.4275716666667,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
206.5,2.5337985,4443.56179487179,,0.0,0.0,0.0,7.75438128571429,4.33281428571429,2.08765,11.4003971428571,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
207.5,2.543564,4446.55375,,0.0,0.0,0.0,6.79159916666667,4.17575,2.10208571428571,11.09754,,serpentinite,harzburgite,,,serpentinite,0
208.5,2.53581165,4394.51358974359,,0.0,0.0,0.0,8.35312557142857,4.21165714285714,2.15451666666667,11.05493,,,harzburgite,harzburgite,harzburgite,serpentinite,0
209.5,2.54424341025641,4291.97358974359,,,,0.0063408032857142,6.26903116666667,4.29343333333333,2.12732857142857,11.0615071428571,8.4,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
210.5,2.64614438461539,2755.485,0.285743801428571,0.0204953474285714,,,5.61516414285714,4.37404285714286,2.20533333333333,11.0276133333333,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
211.5,2.6617843,1116.26717948718,0.0397032433333333,,,0.0420808845,5.730102,4.28836666666667,2.0319,11.0823157142857,,,gabbronorite,,,serpentinite,1
212.5,2.62749264102564,1097.88923076923,0.408969165714286,0.022536613,0.0064939395714285,,10.6556064285714,4.1961,2.13917142857143,11.351525,,,dunite,,,serpentinite,1
213.5,2.56916925641026,4441.024,0.0827746935,0.0130259413,0.021479573,,9.8268955,4.2345,2.32851666666667,11.4837228571429,,,dunite,,,serpentinite,0
214.5,2.523147275,3299.86102564103,,,,0.189859695357143,6.750859,4.11423333333333,2.1033,11.55478,8.2,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
215.5,2.7560181025641,1976.76,,,0.0817355366666667,,8.44662057142857,4.18998571428571,1.90696666666667,11.4057483333333,,,gabbro,,,serpentinite,1
216.5,2.53212912820513,4474.55825,,0.0,0.0,0.0,3.65916,4.02666666666667,2.03871428571429,11.5135757142857,,serpentinite,harzburgite,,,serpentinite,0
217.5,2.55632965,4917.39846153846,,0.0,0.0,0.0,5.24833057142857,4.30668571428571,2.1281,11.3946633333333,,,harzburgite,harzburgite,harzburgite,serpentinite,0
218.5,2.57730187179487,5079.9555,,0.0,0.0,0.0,5.27996316666667,4.32876666666667,2.15297142857143,11.3647785714286,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
219.5,2.563828,5038.84948717949,,,0.0026060128571428,0.0073806914285714,8.11103114285714,4.4743,2.14328571428571,11.3520083333333,8.4,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
220.5,2.52811415384615,3544.99666666667,0.102518635,0.0776943856666667,0.0150646411666667,,5.92571466666667,4.0787,1.973,11.3470014285714,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
221.5,2.5522031025641,5004.39225,,,,,5.14046242857143,4.33308333333333,2.0362,11.40266,,,gabbronorite,,,serpentinite,0
222.5,2.529547225,4722.03846153846,0.716505366666667,,,0.343078483333333,5.42612771428571,4.16978571428571,2.08781666666667,11.5139114285714,,,harzburgite,harzburgite,harzburgite,serpentinite,0
223.5,2.531004,5063.92564102564,,,,0.0320264857142857,7.780734,4.2092,2.00647142857143,11.5294142857143,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
224.5,2.52606866666667,5206.977,,0.0,0.0,0.0,6.90372185714286,4.19248571428571,2.04551666666667,11.5312516666667,7.2,serpentinite,harzburgite,,,serpentinite,0
225.5,2.534440275,4890.53487179487,,,0.0189617308571429,0.10495452,6.952773,4.10848333333333,1.96732857142857,11.5311257142857,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
226.5,2.46997684615385,3678.45075,0.0098814599999999,,0.00764714,0.0090940271428571,4.83406428571429,3.96224285714286,1.92053333333333,11.5268833333333,,serpentinite,harzburgite,,,serpentinite,0
227.5,2.469830075,3922.58282051282,,0.0,0.0,0.0,3.93915033333333,3.94931666666667,1.8532,11.5154871428571,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
228.5,2.43843074358974,2623.36128205128,,0.0,0.0,0.0,3.81163228571429,3.89695714285714,1.9078,11.6423916666667,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
229.5,2.51951315384615,3956.92825,,0.0,0.0,0.0,4.25848216666667,3.85675714285714,2.2228,11.6354842857143,8.4,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
230.5,2.575730325,4507.08230769231,,0.0,0.0,0.0,7.09357442857143,4.54266666666667,2.18882857142857,11.6270257142857,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
231.5,2.53388456410256,3136.10333333333,,0.0,0.0,0.0,5.12599114285714,4.00364285714286,1.92981666666667,11.781915,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
232.5,2.5498932051282,4712.931,,0.0,0.0,0.0,5.48724266666667,4.1526,2.1098,11.9814842857143,,,gabbronorite,gabbronorite,harzburgite,serpentinite,0
233.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
234.5,2.55215646153846,4793.11525,,0.0,0.0,0.0,8.35372016666667,4.17793333333333,2.03077142857143,11.9818871428571,8.2,serpentinite,harzburgite,,,serpentinite,0
235.5,2.58176455,4746.76871794872,,0.0,0.0,0.0,6.91013928571429,4.2544,2.0785,11.7693566666667,,serpentinite,harzburgite,,,serpentinite,0
236.5,2.57777138461538,4495.22333333333,,0.0,0.0,0.0,7.59204033333333,4.29095,2.13383333333333,11.7646228571429,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
237.5,2.53421451282051,3514.859,,0.0,0.0,0.0,10.4342918571429,3.98441428571429,1.9761,11.78053,8.4,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
238.5,,,,,,,,,,,,,harzburgite,harzburgite,harzburgite,serpentinite,0
239.5,2.55431620512821,4651.63564102564,,0.0,0.0,0.0,6.04514383333333,3.87753333333333,1.89017142857143,11.8880585714286,,,,,,serpentinite,0
